,0,1,wc
502377,2855132024086578877,1601992821016665381,184
502378,2613546120596418346,1601996200277433609,154
502379,8272507267002284766,1601996200277433609,148
502380,3543261528791576342,1601996200277433609,103
502382,4954165597142263622,1601996200277433609,44
502383,1290922634841703206,1601996200277433609,19
502384,8939170330124307285,1601996200277433609,177
502385,5483222167232061814,1601996200277433609,9
502386,3921920448748231978,1601996200277433609,105
502387,621712109356757887,1601996200277433609,109
502388,3708125800434303941,1602013416530575219,122
502393,8682580968825874557,1602013416530575219,0
502429,8383730264300962393,1602048034758321107,60
502430,58519364047403718,1602048034758321107,51
502434,5210903488583118494,1602048034758321107,52
502437,1363843299886247083,1602049329528744224,176
502438,2937086910082222194,1602049329528744224,157
502439,289566053057867834,1602049329528744224,93
502443,1677312886429632428,1602049329528744224,127
502444,4831443811341393900,1602049329528744224,86
502445,3676867070871600323,1602049329528744224,80
502451,9214419456774132621,1602067983174611938,403
502457,5585725322173957609,1602074873411250784,16
502458,8992815983835318371,1602074873411250784,22
502461,550589211145792347,1602074873411250784,12
502462,231078954590603654,1602074873411250784,30
502465,1493421418962216831,1602075576375430525,2
502467,7003123935775650546,1602075576375430525,8
502475,3925527626313275191,160208656772566859,0
502478,9131903717981794181,160208656772566859,1252
502483,4838007988855658672,1602091400764956349,14
502484,1193444963239847570,1602091400764956349,18
502485,2411756575404252164,1602091400764956349,18
502486,3488663739467346067,1602091400764956349,0
502487,2529349688595820849,1602091400764956349,0
502488,5018573172288624920,1602091400764956349,0
502489,3112401732387026692,1602091400764956349,0
502490,4229623487000704211,1602091400764956349,0
502491,3415224489315122384,1602091400764956349,15
502492,8198096827988920459,1602091400764956349,164
502496,8279305049919839339,1602101661810060845,264
502503,8257338071713465580,1602113131215457985,173
502506,8921574429475579547,1602113131215457985,1019
502508,4426934802536411341,1602113131215457985,356
502510,7619177842860773095,1602113131215457985,277
502511,1163164585353888410,1602113131215457985,53
502512,216339288681383742,1602113131215457985,48
502515,6249749223629621497,1602115394045858116,17
502516,1491810215928359768,1602115394045858116,25
502518,5335205631467774526,1602115394045858116,10
502543,7806279521752257078,1602146656626708399,446
502550,2508143358442643569,1602146656626708399,207
502556,6477440194893222169,160214906888300622,415
502572,4228285895555212277,1602155704100851393,227
502573,2239430239708819865,1602168917131327453,369
502576,5364497190629613018,1602168917131327453,460
502577,4611369947274501043,1602168917131327453,734
502579,5338648261305520155,1602168917131327453,31
502582,3549338203556550413,1602168917131327453,289
502590,8525907702617517433,1602169258540167219,48
502593,5824189266949452860,1602186569083913067,85
502596,5533077254644710182,1602186569083913067,64
502599,2524395917976785720,1602186569083913067,499
502602,2773374886888771,1602186569083913067,109
502605,2158797505147158273,1602189419308579639,283
502613,6319609568551293272,1602201669782542275,13
502620,1414015274435821351,1602201669782542275,142
502621,6586967465603238529,1602201669782542275,246
502623,5171189548265911328,1602201986455596130,0
502624,3311167176165523158,1602201986455596130,0
502625,4610071807584814244,1602201986455596130,0
502627,7461524164196371929,1602201986455596130,3
502629,1243575312358637716,1602201986455596130,0
502631,4338777849005177071,1602203870544168105,145
502641,2012641136536649538,1602223257051592680,0
502643,562910159690399770,1602223257051592680,189
502648,6557438559264915336,1602223257051592680,0
502673,4155994262938898372,1602333671039266177,0
502683,2138186119068535334,1602341938383014736,147
502685,6715754855307355975,1602341938383014736,1408
502687,6647523922710945699,1602341938383014736,346
502689,5074220511470380033,1602341938383014736,103
502702,6047934388267194823,1602361441890156967,885
502703,3903540484819861416,1602361441890156967,516
502709,2557061145949754776,1602361441890156967,1086
502710,6497727397255255701,1602361441890156967,3210
502729,7068340218704946628,1602371470372386597,1
502731,5825862140590292232,1602371470372386597,41
502734,2317595706882382442,1602371470372386597,41
502736,2573689031032190332,1602371470372386597,112
502737,5127828115325469597,1602371470372386597,306
502740,1878584220952992704,1602375249805391091,8
502746,2314550361134108097,1602375249805391091,5
502747,2085918603921354327,1602375249805391091,0
502772,6132089791969454834,16023917,96
502773,7728091960997428738,16023917,21
502784,8664708423387835851,1602413453586816406,25
502785,3213876616462153830,1602413453586816406,29
502786,6752705275417332320,1602413453586816406,88
502789,5418149132880156184,1602413453586816406,444
502790,2099111011388801845,1602413453586816406,102
502791,2856123265360029813,1602420711489347432,239
502794,7117523949941367728,1602420711489347432,194
502795,2650460506972058218,1602420711489347432,173
502797,3331178669461845718,1602420711489347432,80
502799,1903701476277405426,1602420711489347432,216
502801,337470518948965474,1602423043036198858,123
502811,2648894178991971721,1602433064393786274,583
502814,1868740590912401237,1602433064393786274,215
502829,5481247197174226099,1602448159650172117,266
502834,7367572194514282990,1602448159650172117,140
502846,976659088574043995,1602488720297144677,34
502850,6841597245782202996,1602492979112370965,385
502851,995211606938488147,1602492979112370965,16
502852,4287047117429013744,1602492979112370965,59
502854,8006910487830334952,1602492979112370965,153
502856,3942192482908929869,1602492979112370965,106
502857,6611288163765836635,1602492979112370965,887
502866,8624509501139560792,1602495568995135554,39
502877,8048507566768972478,1602509030932652048,16
502892,4753197597846452799,160253123803315176,12
502894,3023370668633516027,160253123803315176,48
502897,451090617414733890,160257461858752767,35
502902,7274626692801114195,160257461858752767,20
502905,5077880348402592803,1602574744970686215,850
502908,2891165731363768537,1602574744970686215,424
502928,3004046016249992682,1602603122515449206,50
502930,7082717756105907427,1602603122515449206,117
502933,1306958288910225766,1602603122515449206,182
502934,433591873076922610,1602603122515449206,155
502935,5445809866381742007,1602605606883621054,11
502936,5923320273774272907,1602605606883621054,16
502942,4286641631741106098,1602605606883621054,230
502944,8185304764370200045,1602605606883621054,0
502952,4324087450459135319,160262880143270642,0
502954,892237382297598173,160262880143270642,141
502965,5826869210719034152,1602653003515925051,0
502971,3946745062791010895,1602653003515925051,259
502972,2148897244022266452,1602653003515925051,192
502974,8316869829184004560,1602653003515925051,61
502986,5407076453132314181,1602655669936024595,172
502987,242711847299657263,1602655669936024595,713
502988,7835644542370691892,1602655669936024595,564
502991,1318099671441863581,1602655669936024595,90
502992,8860379576716088926,1602655669936024595,32
502993,1261102663810063679,1602655669936024595,66
502994,4074261057222062548,1602655669936024595,407
503037,7607157192590606891,160272054239409303,97
503040,1731223854623345228,160272054239409303,178
503064,272708497287198764,1602757489205227616,48
503065,1221693754738084425,1602757489205227616,36
503066,3515482415103447869,1602757489205227616,176
503067,2099693508781598786,1602757489205227616,189
503070,1369618315664823505,1602757489205227616,0
503082,359586365567265479,1602793017559565488,241
503083,1075995086514680557,1602793017559565488,223
503084,9015874635621492402,1602793017559565488,57
503086,3539790827537539156,1602793017559565488,147
503088,3337733639879071343,1602793017559565488,374
503089,2872411327781763134,1602793017559565488,992
503096,4446573775526309539,1602799226226697028,51
503107,4129313421611708816,1602814999391627771,173
503113,4014523867990685363,1602819017010104962,4
503115,5415692474854661595,1602819017010104962,5
503120,8580879760107845001,1602819017010104962,5
503121,8883560542221805182,1602819017010104962,4
503122,6598529076689134266,1602826666440133109,38
503125,1308910011664022578,1602826666440133109,15
503126,8932508192802975245,1602826666440133109,8
503129,2978093523842120560,1602826666440133109,153
503130,5897072154322579813,1602826666440133109,89
503131,8555461552736978821,1602827262932126069,143
503132,6346546387763165654,1602827262932126069,84
503133,6874569647006555777,1602827262932126069,165
503138,5617096455739519541,1602827262932126069,147
503140,98143746400038356,1602827262932126069,149
503161,1507436369084574535,1602865272511683321,289
503162,1230577858350808161,1602865272511683321,332
503163,2575562304905437304,1602865272511683321,308
503164,7362755407942362808,1602865272511683321,195
503165,37632863922074589,1602865272511683321,254
503167,2670063351080655777,1602865272511683321,134
503168,5515064958172535885,1602865272511683321,535
503169,1735896508424207425,1602865272511683321,418
503170,5054803763154322709,1602865272511683321,53
503175,8193606748814637113,1602877001689491953,180
503213,2510922761686017761,1602909254768523471,2909
503239,1026433053800222562,1602931355655786098,17
503240,4172157782496781643,1602931355655786098,13
503241,1655925850499727589,1602931355655786098,13
503243,4509856666354444433,1602931355655786098,72
503244,6858857781385534396,1602931355655786098,22
503248,6178613178871563900,1602931355655786098,12
503281,7118672988740544073,1602955843500440673,679
503282,1162169263428666461,1602955843500440673,1168
503284,2987828179882819345,1602955843500440673,754
503285,4296240819185925553,1602955843500440673,1332
503286,2782130085153464004,1602955843500440673,1008
503288,2605992758780435161,1602955843500440673,615
503302,2591351741275136538,160297262774949904,0
503303,8930439466417507408,160297262774949904,92
503305,267718384507696594,160297262774949904,0
503306,5376326662797459357,160297262774949904,0
503307,1291656064639134288,160297262774949904,0
503336,8439692402753971994,1602992685330786591,536
503339,5308848252563371500,1603013326237529015,156
503341,7454345847802420619,1603013326237529015,143
503346,3737922023978986017,1603013326237529015,176
503350,4622317810006382522,1603022758277567682,15
503351,7739956777082211424,1603022758277567682,0
503352,1965594507856372135,1603022758277567682,87
503353,8005977492387283780,1603022758277567682,0
503354,5378615991057734618,1603022758277567682,4
503355,1294513422855609694,1603022758277567682,0
503356,4982533637044411833,1603022758277567682,105
503357,1987461814663241275,1603022758277567682,550
503362,6359685853963782458,160302762636843938,605
503366,2378899698592957472,160302762636843938,160
503367,5544612627410848157,160302762636843938,222
503377,7650688587067879451,1603034959454096505,416
503383,7304509043878316199,1603034959454096505,452
503385,7560781904653445112,1603034959454096505,6
503392,4759580358540406821,1603066790730415039,265
503393,3083489206543611580,1603066790730415039,214
503395,1587613599590511423,1603066790730415039,65
503396,961403411799649895,1603066790730415039,184
503397,6600909848292863922,1603066790730415039,199
503401,5379093824017034385,1603066790730415039,57
503402,6459612723547716698,1603069694593237191,95
503407,8535535730863416823,1603077677022724193,0
503430,3656661307006456946,1603084356848361769,0
503439,5319695817469980379,16030936,0
503440,2354998739638229774,16030936,0
503441,5101878413713451986,16030936,72
503444,3983953374426638136,1603098235034971558,139
503445,6421163053691715954,1603098235034971558,168
503447,8314965579219022731,1603098235034971558,214
503448,3674778060213221321,1603098235034971558,89
503449,6242715953637259857,1603098235034971558,147
503450,5200843647564421181,1603098235034971558,140
503452,3297977938114084886,1603098235034971558,129
503485,4900485308234462892,1603124486230921545,5
503486,8640979362593653559,1603124486230921545,8
503490,7389676168073556827,1603134805330253697,966
503539,2256702450060359683,1603172341118822290,3
503540,6088007687160110147,1603172341118822290,3
503541,6131644022448209427,1603172341118822290,3
503542,6211662957145023822,1603172341118822290,3
503544,7216696487725934927,1603172341118822290,2
503545,8571916638135431783,1603172341118822290,4
503546,4460967823829373446,1603172341118822290,3
503547,7164021691131748467,1603172341118822290,3
503548,290173768100630162,1603172453685185640,102
503549,6458093349104738744,1603172453685185640,75
503554,1821263982358237510,1603172453685185640,91
503557,553910984776167049,1603172453685185640,100
503568,5357787759901652544,1603200940302807292,114
503569,6027514067779470871,1603200940302807292,886
503570,3231714051270675352,1603200940302807292,611
503571,7599830523210907286,1603200940302807292,499
503572,7450853138881060799,1603200940302807292,28
503575,356297015735485714,1603200940302807292,880
503576,9144611582043091962,1603200940302807292,62
503577,1541655841644183006,1603200940302807292,179
503581,2346352938527393771,1603220479625103502,0
503587,2015461520694683756,1603229848585786571,496
503588,501212467647424084,1603229848585786571,116
503592,5137113692107562403,1603229848585786571,7
503593,108051269344405043,1603229848585786571,17
503599,6742203453949509110,1603231419407871453,190
503600,2773939026105653823,1603231419407871453,438
503601,4179192247061126653,1603231419407871453,117
503604,758839114495894081,1603231419407871453,474
503607,947624639397187857,1603236978446305685,11
503658,7283626233500154929,1603301712013223941,172
503659,3503471140567607859,1603301712013223941,255
503660,3097554964497373624,1603301712013223941,195
503661,4123476673924688506,1603301712013223941,98
503662,4749429651148872059,1603301712013223941,153
503663,5833902612540953318,1603301712013223941,128
503664,2048686040417147636,1603301712013223941,45
503665,3569954880409263556,1603301712013223941,151
503667,7337911818178340897,1603301712013223941,75
503684,8632620325518384625,1603336846140943067,221
503685,8604485961232696704,1603336846140943067,0
503690,6045324920874243783,1603340234803174906,483
503691,2346131799808281601,1603340234803174906,267
503729,3335578254217256260,1603390463013581190,667
503733,9172367059131504691,1603390463013581190,179
503734,350084742087456507,1603390463013581190,61
503735,3585931429751437341,1603390463013581190,549
503737,1902653264359194881,1603390463013581190,1366
503743,8118237546185788503,1603394532287772267,246
503745,275552483873856624,1603394532287772267,23
503746,5305885713421881091,1603394532287772267,944
503752,890859472791302999,1603401263739498064,115
503770,1741254809338554026,1603409805349166150,10
503776,5195350193293798119,1603412672323307449,82
503803,4532097478203949468,1603429879155301957,3
503805,9044614290000841547,1603429879155301957,9
503808,4010591135311340872,1603429880623519084,240
503809,7591847415764912059,1603429880623519084,415
503812,7162145272388365444,1603429880623519084,281
503813,2841301960867624562,1603429880623519084,349
503817,2018975152771660418,1603437517254335433,0
503821,2315925573735322270,1603437517254335433,77
503822,1850490986722623188,1603437517254335433,0
503823,7991129553612823112,1603437517254335433,0
503836,567032802950406700,1603452394760649239,205
503839,4469242444822910912,1603452394760649239,48
503861,1705124218843452753,1603488994075419598,52
503876,9170350506709833719,160351043536642104,847
503878,2575957842891538588,160351043536642104,1493
503879,6141040264363947457,160351043536642104,155
503881,7645089413732856516,160351043536642104,613
503882,1092806923862557484,160351043536642104,546
503883,4437417422608800562,160351043536642104,1097
503884,8339931897042201197,160351043536642104,272
503885,8073929034993601168,1603521579661170046,303
503887,2914237807955186182,1603521579661170046,128
503889,2782874850957944046,1603521579661170046,170
503893,5562291515379007253,1603521579661170046,104
503895,2681707780782288330,160353012894394674,12
503897,7686565773247046073,160353012894394674,21
503898,8106595070360442753,160353012894394674,37
503899,8982598852001648748,160353012894394674,72
503900,7657557975355716471,160353012894394674,28
503902,5511789657911375354,160353012894394674,0
503903,3757347999478423129,160353012894394674,17
503907,1142534251873544356,1603537122427607053,4
503910,1372191088546392909,1603537122427607053,51
503911,5053740757405103000,1603537122427607053,108
503916,4187711603563920124,1603554672739698719,19
503918,8740876186530682707,1603557048116193924,37
503919,7553425977568484463,1603557048116193924,22
503924,8471018123800781193,1603557048116193924,630
503928,4524946415331742112,1603564448149565675,7
503929,6843647385386673318,1603564448149565675,1
503930,1672291101901167556,1603564448149565675,1
503931,3729757768332731265,1603564448149565675,1
503932,666188948484962380,1603564448149565675,3
503933,4291911935815937666,1603564448149565675,1
503934,9117727247820633177,1603564448149565675,1
503935,4454107255917223796,1603564448149565675,2
503975,1394934061377748149,1603611253339244656,7
503976,6223024926983443155,1603611253339244656,24
503977,2261241858064678822,1603611253339244656,25
503978,2670171941672054100,1603611253339244656,31
503979,359166793833524896,1603611253339244656,3
503981,2600417346632248001,1603611253339244656,34
503982,3178426775138042611,1603611253339244656,3
503983,5907805255959294009,1603611253339244656,108
503984,8919091341416245522,1603611253339244656,4
503986,7359717272805527774,1603611356315879588,414
503989,1960541993770127597,1603611356315879588,363
503992,7434256020020377080,1603611356315879588,686
504008,4702170147275844401,1603645883277393603,0
504018,6926385925041136326,1603656913499875348,6
504020,5625859519356926967,1603656913499875348,236
504029,3963952167849408513,1603669921090983480,1216
